number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_softgate_score,attr_softgate_info.Sat,attr_softgate_info.Drift,attr_softgate_info.LagRatio,attr_softgate_info.THD,attr_softgate_info.z_sat,attr_softgate_info.z_drift,attr_softgate_info.z_lag,attr_softgate_info.z_thd,attr_CQ,attr_GR,attr_KR,attr_MC
515,COMPLETE,"[14.0, 2.4816044085456532]",2025-09-06T04:13:20.013720,2025-09-06T04:21:21.481838,481.468118,0.11338198123158749,0.021209471145828475,0.08721827436586217,50.0,passed,0.5513439829828171,0.441,0.006062252665341377,0.016,0.4351618154033904,0.5589999999999999,0.9939377473346587,0.08000000000000007,0.4560477307457621,14.0,1.0,15.0,2.4816044085456532
516,COMPLETE,"[4.0, 5.7378589148421675]",2025-09-06T04:21:21.492848,2025-09-06T04:29:23.625561,482.132713,0.054491652422439966,0.03751021483566938,0.04857401066965112,50.0,passed,0.6190663689859177,0.323,0.0049514841866150835,0.012,0.3145830398697141,0.677,0.9950485158133849,0.06000000000000005,0.6067712001628573,4.0,4.0,8.0,5.7378589148421675
517,COMPLETE,"[5.0, 3.8184597037887484]",2025-09-06T04:29:23.637571,2025-09-06T04:37:25.866370,482.228799,0.028559365102715263,0.021209471145828475,0.05612647361535459,50.0,passed,0.7321578358294498,0.303,0.07939774894946537,0.104,0.1837709077327355,0.6970000000000001,0.9206022510505346,0.52,0.7702863653340807,5.0,1.0,6.0,3.8184597037887484
518,COMPLETE,"[11.0, 5.446962372691903]",2025-09-06T04:37:25.878380,2025-09-06T04:45:27.417212,481.538832,0.054491652422439966,0.15655485837628175,0.05612647361535459,50.0,passed,0.6577897027425501,0.28,0.044861351567839346,0.064,0.3879798374619602,0.72,0.9551386484321607,0.31999999999999995,0.5150252031725497,11.0,3.0,14.0,5.446962372691903
519,COMPLETE,"[8.0, 5.78739298915788]",2025-09-06T04:45:27.429222,2025-09-06T04:53:29.326725,481.897503,0.054491652422439966,0.1069671241422181,0.05670590670265688,50.0,passed,0.6340906177227268,0.329,0.04214332303691697,0.052,0.3688942060721758,0.671,0.9578566769630831,0.2599999999999999,0.5388822424097802,8.0,4.0,12.0,5.78739298915788
520,COMPLETE,"[-5.0, -5.0]",2025-09-06T04:53:29.338735,2025-09-06T04:53:30.003329,0.664594,0.4912480833800392,0.13469536692549647,0.026000780829037982,50.0,penalized,0.2985420835512527,0.731,0.18243166579498907,1.244,4.6804059410309025,0.269,0.817568334205011,0.0,0.0,,,,
521,COMPLETE,"[-5.0, -5.0]",2025-09-06T04:53:30.015340,2025-09-06T04:53:30.681936,0.666596,0.35999271174400116,0.3083846793047826,0.03284448791337153,50.0,penalized,0.29292679024951895,0.735,0.19929283900192427,2.404,5.106466016937616,0.265,0.8007071609980757,0.0,0.0,,,,
522,COMPLETE,"[3.0, 6.466617517820138]",2025-09-06T04:53:30.692945,2025-09-06T05:01:32.269460,481.576515,0.054491652422439966,0.08001086062041782,0.017766519352954382,50.0,passed,0.641323463043618,0.252,0.04751259004535293,0.064,0.4903935577801746,0.748,0.9524874099546471,0.31999999999999995,0.3870080527747818,3.0,5.0,8.0,6.466617517820138
523,COMPLETE,"[-5.0, -5.0]",2025-09-06T05:01:32.280470,2025-09-06T05:01:32.949068,0.668598,0.4735970109642807,0.10940170418090282,0.04003450952343178,50.0,penalized,0.2975022270296892,0.745,0.16699109188124328,1.22,5.433555822061,0.255,0.8330089081187567,0.0,0.0,,,,
524,COMPLETE,"[12.0, 4.283925224706131]",2025-09-06T05:01:32.960077,2025-09-06T05:09:35.716347,482.75627,0.054491652422439966,0.4083943472670089,0.06538337150013956,50.0,passed,0.666653429065511,0.295,0.050405360019072525,0.076,0.3739809237188837,0.7050000000000001,0.9495946399809275,0.38,0.5325238453513954,12.0,2.0,14.0,4.283925224706131
525,COMPLETE,"[9.0, 5.041068892357283]",2025-09-06T05:09:35.727356,2025-09-06T05:17:38.240547,482.513191,0.054491652422439966,0.39871603046150833,0.03564245579868995,50.0,passed,0.6783252265185392,0.225,0.029991971764638272,0.1,0.5417071221612046,0.775,0.9700080282353617,0.5,0.32286609729849425,9.0,3.0,12.0,5.041068892357283
526,COMPLETE,"[-5.0, -5.0]",2025-09-06T05:17:38.252557,2025-09-06T05:17:38.923156,0.670599,0.6061591345525263,0.5768783555970822,0.05612647361535459,50.0,penalized,0.2857396319179617,0.771,0.1776414723281531,2.384,8.69151378300854,0.22899999999999998,0.8223585276718469,0.0,0.0,,,,
527,COMPLETE,"[-5.0, -5.0]",2025-09-06T05:17:38.935167,2025-09-06T05:17:39.610771,0.675604,0.6920637917464991,0.11360045657727304,0.03856934887256219,50.0,penalized,0.29240563329836283,0.751,0.17897746680654864,2.412,5.89924781604745,0.249,0.8210225331934513,0.0,0.0,,,,
528,COMPLETE,"[5.0, 5.993678949202119]",2025-09-06T05:17:39.622781,2025-09-06T05:25:41.060874,481.438093,0.054491652422439966,0.15655485837628175,0.02728554626466989,50.0,passed,0.6653728680553818,0.235,0.033675788196922934,0.092,0.5438327395815502,0.765,0.966324211803077,0.45999999999999996,0.3202090755230623,5.0,4.0,9.0,5.993678949202119
