number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
63,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:51:02.277504,2025-09-01T17:51:41.044617,38.767113,0.7101994406900799,0.42101370975144653,0.07470350533089591,50.0,penalized,1.0162218881348517,,,,
64,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:51:41.055626,2025-09-01T17:52:19.827339,38.771713,0.26828477444444365,0.27845004265894796,0.02693855952525349,50.0,penalized,1.005143170381567,,,,
65,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:52:19.839349,2025-09-01T17:52:58.515416,38.676067,0.2993598007167692,0.08187724328727759,0.05986362736121329,50.0,penalized,1.0047411789029426,,,,
66,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:52:58.525904,2025-09-01T17:53:37.321426,38.795522,0.6309180145095178,0.1972150816888882,0.0606656485554223,50.0,penalized,27.285085842683394,,,,
67,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:53:37.332167,2025-09-01T17:54:16.071423,38.739256,0.6309180145095178,0.1972150816888882,0.01854565009747748,50.0,penalized,1.0054309151285823,,,,
68,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:54:16.082549,2025-09-01T17:54:55.116054,39.033505,0.1968925538608696,0.033483419404930034,0.03495272088897249,50.0,penalized,1.0050947632418552,,,,
69,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:54:55.126573,2025-09-01T17:55:34.029377,38.902804,0.17317177653535573,0.534391672889736,0.07677661497353078,50.0,penalized,1.0069818080455692,,,,
70,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:55:34.039798,2025-09-01T17:56:12.878559,38.838761,0.23824699491070156,0.46434052400810033,0.018271549267118777,50.0,penalized,10.132738827004816,,,,
71,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:56:12.889316,2025-09-01T17:56:51.644984,38.755668,0.46985182775083656,0.258230286522433,0.029392363403404766,50.0,penalized,1.0272302909618742,,,,
72,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:56:51.655994,2025-09-01T17:57:30.463247,38.807253,0.6415208390168451,0.22425006373023454,0.07353578466223422,50.0,penalized,6.803473734985179,,,,
73,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:57:30.473256,2025-09-01T17:58:09.365497,38.892241,0.4918405794116592,0.270462438088082,0.04264015339355488,50.0,penalized,10.212218252937568,,,,
74,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:58:09.376164,2025-09-01T17:58:48.149960,38.773796,0.7055562575087538,0.12116358494404364,0.06417146014006435,50.0,penalized,1.0060525327413288,,,,
75,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:58:48.161037,2025-09-01T17:59:26.991579,38.830542,0.5312515052101776,0.5846281826149853,0.050764405807533365,50.0,penalized,7.5152593455573555,,,,
76,COMPLETE,"[-5.0, -5.0]",2025-09-01T17:59:27.001931,2025-09-01T18:00:05.852703,38.850772,0.4033459121771341,0.42101370975144653,0.09602486778356635,50.0,penalized,3.9341057322874695,,,,
77,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:00:05.862495,2025-09-01T18:00:44.643403,38.780908,0.283447094003333,0.5685299155587055,0.02890569353863599,50.0,penalized,1.5151658077269607,,,,
78,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:00:44.653428,2025-09-01T18:01:23.381999,38.728571,0.470695511568082,0.15648073105986263,0.08841037521364263,50.0,penalized,1.0057433420086535,,,,
79,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:01:23.393081,2025-09-01T18:02:02.024200,38.631119,0.667961218857044,0.056395049183125184,0.050951578460622184,50.0,penalized,1.006673790481168,,,,
80,COMPLETE,"[-5.0, -5.0]",2025-09-01T18:02:02.034204,2025-09-01T18:02:40.788611,38.754407,0.6283339454801582,0.270462438088082,0.04264015339355488,50.0,penalized,1.474939191807291,,,,
