number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
85,COMPLETE,"[8.0, 0.10891391407349321]",2025-10-10T22:26:54.111361,2025-10-10T22:34:50.695697,476.584336,0.27637996908651546,0.6,0.001,50.0
86,COMPLETE,"[74.0, 6.290151221896954]",2025-10-10T22:34:50.707707,2025-10-10T22:42:47.198905,476.491198,0.05539636684497916,0.08993125367112924,0.008,50.0
87,COMPLETE,"[113.0, 6.056467610628161]",2025-10-10T22:42:47.209915,2025-10-10T22:50:43.555787,476.345872,0.04832114997033283,0.08764651167218294,0.008,50.0
88,COMPLETE,"[121.0, 5.936029839237572]",2025-10-10T22:50:43.566797,2025-10-10T22:58:39.873735,476.306938,0.046054283026878154,0.09063128642270367,0.007103989484043921,50.0
89,COMPLETE,"[23.0, 3.369594823375885]",2025-10-10T22:58:39.884745,2025-10-10T23:06:36.090085,476.20534,0.06294824005932682,0.509153552291703,0.008,50.0
90,COMPLETE,"[6.0, 0.0]",2025-10-10T23:06:36.100093,2025-10-10T23:14:32.361317,476.261224,0.19400160551821438,0.3480734696055817,0.008,50.0
91,COMPLETE,"[134.0, 5.820023674059206]",2025-10-10T23:14:32.371325,2025-10-10T23:22:28.564973,476.193648,0.04274521302401798,0.09053265481377068,0.006104666053606342,50.0
92,COMPLETE,"[29.0, 0.0]",2025-10-10T23:22:28.575982,2025-10-10T23:30:25.090005,476.514023,0.14710321532695236,0.40587918774049675,0.001,50.0
93,COMPLETE,"[123.0, 5.942965606143243]",2025-10-10T23:30:25.100013,2025-10-10T23:38:21.027494,475.927481,0.0459456516858126,0.08987664298077785,0.00712374439162731,50.0
94,COMPLETE,"[74.0, 1.2443397991210883]",2025-10-10T23:38:21.038503,2025-10-10T23:46:16.757790,475.719287,0.15714315152938935,0.01,0.008,50.0
95,COMPLETE,"[4.0, 1.0]",2025-10-10T23:46:16.769800,2025-10-10T23:54:12.288802,475.519002,0.0,0.460406739905917,0.008,50.0
96,COMPLETE,"[144.0, 4.938432812245109]",2025-10-10T23:54:12.298811,2025-10-11T00:02:08.141745,475.842934,0.04014408128872295,0.31353560467852265,0.0015676268987388669,50.0
97,COMPLETE,"[108.0, 6.1061221337030585]",2025-10-11T00:02:08.152754,2025-10-11T00:10:04.115784,475.96303,0.04896755256394081,0.0848976677324404,0.008,50.0
98,COMPLETE,"[2.0, 0.0]",2025-10-11T00:10:04.125793,2025-10-11T00:18:00.050546,475.924753,0.46282087557716445,0.01,0.008,50.0
99,COMPLETE,"[154.0, 4.780590978028019]",2025-10-11T00:18:00.061557,2025-10-11T00:25:56.464781,476.403224,0.038985207032995496,0.29372018244639286,0.001,50.0
100,COMPLETE,"[143.0, 5.129840364530752]",2025-10-11T00:25:56.474790,2025-10-11T00:33:52.071787,475.596997,0.04082780268842128,0.28920290376185825,0.0018103406317065964,50.0
101,COMPLETE,"[151.0, 4.924109915838789]",2025-10-11T00:33:52.081796,2025-10-11T00:41:48.990941,476.909145,0.04059612259869247,0.2917813467764307,0.0013147134979891572,50.0
102,COMPLETE,"[144.0, 5.061565923552218]",2025-10-11T00:41:49.001950,2025-10-11T00:49:44.455045,475.453095,0.04094509333172503,0.28702614055316444,0.0016293073171807677,50.0
103,COMPLETE,"[86.0, 5.941625069504598]",2025-10-11T00:49:44.466055,2025-10-11T00:57:39.964261,475.498206,0.046911320251131636,0.22444384789624167,0.008,50.0
104,COMPLETE,"[6.0, 0.18809728436600665]",2025-10-11T00:57:39.975271,2025-10-11T01:05:35.479271,475.504,0.41204869550717665,0.4086485506122545,0.008,50.0
105,COMPLETE,"[29.0, 5.137084067386649]",2025-10-11T01:05:35.489279,2025-10-11T01:13:30.906103,475.416824,0.060769392701776,0.3373899431971613,0.008,50.0
106,COMPLETE,"[110.0, 6.100621537997637]",2025-10-11T01:13:30.918113,2025-10-11T01:21:26.403214,475.485101,0.05045936698773573,0.07255612307036742,0.008,50.0
107,COMPLETE,"[139.0, 5.159783416212967]",2025-10-11T01:21:26.414223,2025-10-11T01:29:22.421990,476.007767,0.040902840389644764,0.2837240202129488,0.002138564431072152,50.0
108,COMPLETE,"[145.0, 5.60325614412668]",2025-10-11T01:29:22.431999,2025-10-11T01:37:18.013332,475.581333,0.04046884348927932,0.08578274893574933,0.0046908858076708596,50.0
