number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_gating_status,attr_narma10_nrmse,attr_CQ,attr_GR,attr_KR,attr_MC
59,COMPLETE,"[4.0, 2.5963871626394717]",2025-08-29T14:54:51.179525,2025-08-29T15:03:34.059580,522.880055,0.018118951728697152,0.53883814567518,0.0047630615216321176,20.0,passed,0.8777625457483875,4.0,1.0,5.0,2.5963871626394717
60,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:03:34.071592,2025-08-29T15:04:13.970034,39.898442,0.2299453363798991,0.23692464692673249,0.0037110392743287686,20.0,penalized,9.219528661317469,,,,
61,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:04:13.981010,2025-08-29T15:04:53.853779,39.872769,0.19769873035915497,0.27616888919690286,0.0049996240875250795,20.0,penalized,2.666863295031478,,,,
62,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:04:53.863786,2025-08-29T15:05:33.634387,39.770601,0.20597023970212192,0.42585641618685083,0.007320822976500409,20.0,penalized,12.486936268894107,,,,
63,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:05:33.645261,2025-08-29T15:06:13.415406,39.770145,0.3353313690210157,0.27244112699774525,0.0033591144968602668,20.0,penalized,1.0108204018628468,,,,
64,COMPLETE,"[4.0, 2.9323508890529753]",2025-08-29T15:06:13.425522,2025-08-29T15:14:55.923615,522.498093,0.030903340581500516,0.3282573958850137,0.004307465810548266,20.0,passed,0.8639840221848727,4.0,1.0,5.0,2.9323508890529753
65,COMPLETE,"[5.0, 2.734136283225462]",2025-08-29T15:14:55.935625,2025-08-29T15:23:39.441950,523.506325,0.030903340581500516,0.5572991960181867,0.0026861554836927442,20.0,passed,0.8679331943070197,5.0,1.0,6.0,2.734136283225462
66,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:23:39.452959,2025-08-29T15:24:19.151547,39.698588,0.45606434258437495,0.12443508571583178,0.0024628728352616407,20.0,penalized,1.0052595626865906,,,,
67,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:24:19.162529,2025-08-29T15:24:58.904466,39.741937,0.2299453363798991,0.36914438837390867,0.004998384271654083,20.0,penalized,1.5417003576890218,,,,
68,COMPLETE,"[5.0, 3.650252181697461]",2025-08-29T15:24:58.915476,2025-08-29T15:33:41.827539,522.912063,0.06023544558388566,0.47997144690226023,0.004613675839682609,20.0,passed,0.8457019208643719,5.0,1.0,6.0,3.650252181697461
69,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:33:41.839550,2025-08-29T15:34:21.725414,39.885864,0.4051633751398519,0.542920202610021,0.004307465810548266,20.0,penalized,1.015225637749801,,,,
70,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:34:21.735199,2025-08-29T15:35:01.458935,39.723736,0.38992337486538253,0.5850957543138765,0.00454145878469977,20.0,penalized,1.0205513820109595,,,,
71,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:35:01.469334,2025-08-29T15:35:41.084156,39.614822,0.3225236779337559,0.1508732249687613,0.005333985041098325,20.0,penalized,6.278309924597706,,,,
72,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:35:41.094548,2025-08-29T15:36:20.915563,39.821015,0.2667167008138231,0.2636379914606109,0.003711338045183473,20.0,penalized,4.881942944750963,,,,
73,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:36:20.926574,2025-08-29T15:37:00.714252,39.787678,0.20845155242189667,0.38895033994518113,0.0075013260451350944,20.0,penalized,12.081075033154047,,,,
74,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:37:00.724261,2025-08-29T15:37:40.350910,39.626649,0.4902884497331544,0.47997144690226023,0.007001430829925702,20.0,penalized,1.0060164744333595,,,,
75,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:37:40.360881,2025-08-29T15:38:20.076336,39.715455,0.4051633751398519,0.3818837360863754,0.0066853357677115685,20.0,penalized,1.0104120954821818,,,,
76,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:38:20.085711,2025-08-29T15:38:59.796271,39.71056,0.2667167008138231,0.13819497429694083,0.003812168365667338,20.0,penalized,9.212830096830702,,,,
77,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:38:59.807279,2025-08-29T15:39:39.423127,39.615848,0.3766405884060924,0.018772768017649308,0.0024122093352405114,20.0,penalized,1.0355537638925665,,,,
78,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:39:39.433500,2025-08-29T15:40:19.131974,39.698474,0.38992337486538253,0.4938089207109404,0.0038292679877976227,20.0,penalized,2.479764942647233,,,,
79,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:40:19.141745,2025-08-29T15:40:58.818992,39.677247,0.21616446366686287,0.5446835383354937,0.004429391519116369,20.0,penalized,23.176079378213547,,,,
80,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:40:58.829421,2025-08-29T15:41:38.653331,39.82391,0.3766405884060924,0.1423864376017317,0.0049996240875250795,20.0,penalized,1.0052889630828068,,,,
81,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:41:38.663703,2025-08-29T15:42:18.457274,39.793571,0.4537394605599166,0.06085050789211546,0.003973400919266436,20.0,penalized,1.3408602146611763,,,,
82,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:42:18.467271,2025-08-29T15:42:58.106239,39.638968,0.2695156159833707,0.3943550767246493,0.0051547158443913015,20.0,penalized,1.2431630523308708,,,,
83,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:42:58.116246,2025-08-29T15:43:37.887658,39.771412,0.30932701210258906,0.31212092591476365,0.00612379906601815,20.0,penalized,3.7214106201953965,,,,
84,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:43:37.898344,2025-08-29T15:44:17.759693,39.861349,0.2667167008138231,0.27616888919690286,0.0027480905037657755,20.0,penalized,4.011674743755733,,,,
85,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:44:17.769845,2025-08-29T15:44:57.578258,39.808413,0.3622988835307844,0.5418772442378397,0.005765666057710698,20.0,penalized,16.25768924590989,,,,
86,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:44:57.589267,2025-08-29T15:45:37.576838,39.987571,0.1991447138322538,0.3809027772704464,0.006038596261993752,20.0,penalized,14.434903187417108,,,,
87,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:45:37.587511,2025-08-29T15:46:17.351515,39.764004,0.25436038190870747,0.5476276211219836,0.002728184881014467,20.0,penalized,1.3466144516075311,,,,
88,COMPLETE,"[-5.0, -5.0]",2025-08-29T15:46:17.362804,2025-08-29T15:46:57.140265,39.777461,0.47479060115567273,0.5221707502656582,0.006244622843922621,20.0,penalized,1.0060386807267554,,,,
