number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_GR,attr_KR,attr_morph_type
60,PRUNED,,2025-07-21T00:52:44.747144,2025-07-21T01:00:40.981573,476.234429,0.15184261584766556,0.01,0.001,27.589492959800932,,,
61,PRUNED,,2025-07-21T01:00:40.992464,2025-07-21T01:08:40.449791,479.457327,0.15184528138321243,0.01,0.001,27.692137321393215,,,
62,PRUNED,,2025-07-21T01:08:40.459128,2025-07-21T01:16:36.449085,475.989957,0.15193461151110432,0.01,0.001,27.36938104653874,,,
63,PRUNED,,2025-07-21T01:16:36.461981,2025-07-21T01:24:32.905062,476.443081,0.15200611936544067,0.01,0.001,28.167118946610053,,,
64,PRUNED,,2025-07-21T01:24:32.916342,2025-07-21T01:32:30.182586,477.266244,0.15189205332896447,0.01,0.001,26.48798845626739,,,
65,PRUNED,,2025-07-21T01:32:30.191366,2025-07-21T01:40:25.941790,475.750424,0.15173677626655782,0.01,0.001,28.156129606262596,,,
66,PRUNED,,2025-07-21T01:40:25.951957,2025-07-21T01:48:23.555489,477.603532,0.1517579269320707,0.01,0.001,28.2271307982636,,,
67,PRUNED,,2025-07-21T01:48:23.564282,2025-07-21T01:56:20.552441,476.988159,0.1518026428274626,0.01,0.001,26.990108368881963,,,
68,PRUNED,,2025-07-21T01:56:20.562284,2025-07-21T02:04:17.924825,477.362541,0.1519970894557353,0.01,0.001,28.923101316970858,,,
69,PRUNED,,2025-07-21T02:04:17.934438,2025-07-21T02:12:13.807377,475.872939,0.15194881517284548,0.01,0.001,26.847821574050634,,,
70,PRUNED,,2025-07-21T02:12:13.825881,2025-07-21T02:20:09.349183,475.523302,0.15185017337265336,0.01,0.001,26.737371260160106,,,
71,PRUNED,,2025-07-21T02:20:09.359321,2025-07-21T02:28:04.329621,474.9703,0.1519412681168948,0.01,0.001,28.3176136693073,,,
72,PRUNED,,2025-07-21T02:28:04.339165,2025-07-21T02:36:00.594904,476.255739,0.1519223332649186,0.01,0.001,28.04605099471567,,,
73,PRUNED,,2025-07-21T02:36:00.604558,2025-07-21T02:43:57.436415,476.831857,0.15206637769494424,0.01,0.001,29.179370403325404,,,
74,PRUNED,,2025-07-21T02:43:57.446469,2025-07-21T02:51:53.055123,475.608654,0.15186279678129036,0.01,0.001,28.487657832748585,,,
75,PRUNED,,2025-07-21T02:51:53.065661,2025-07-21T02:59:48.888176,475.822515,0.15209681413311715,0.01,0.001,29.443081320817264,,,
76,PRUNED,,2025-07-21T02:59:48.897865,2025-07-21T03:07:44.252678,475.354813,0.1517788362406774,0.01,0.001,26.215097533523885,,,
77,PRUNED,,2025-07-21T03:07:44.261319,2025-07-21T03:15:39.818166,475.556847,0.15188598857356223,0.01,0.001,27.755029201878806,,,
