number,CQ,MC,gamma,theta,m0,h,beta_prime,Nvirt
293,19.0,5.474058661202571,0.0657200835865795,0.19738950869501504,0.0031019699567173984,0.3709994047780992,37.16731996155673,176
294,69.0,4.956098078413488,0.069274461903986,0.34142235979698393,0.005288612874870094,0.4607867044725622,24.2354389689629,267
295,98.0,3.2278279953571514,0.02964312761619531,0.5883604670826516,0.005884523604555656,0.4331340339328041,25.75833575464257,388
297,57.0,5.20232194304209,0.04278632537517113,0.3275013607464429,0.003118060429905457,0.45177534102854805,46.6994379533585,233
298,30.0,5.0873065665990485,0.053785947817175044,0.47075213955523504,0.004503957254295709,0.46273292554254775,47.89790526661749,248
300,4.0,5.168329761820535,0.06946516250523027,0.15929901526364207,0.0012559170639996433,0.3708289520813075,46.6994379533585,150
301,0.0,4.668545985970747,0.05432498733423014,0.4014015269252246,0.00290167723545989,0.33402055597706504,39.177358089441995,72
303,19.0,4.611675517847972,0.0426461426483413,0.19738950869501504,0.0031019699567173984,0.3158449143626015,39.177358089441995,184
304,109.0,3.5479163481993634,0.017005257078706242,0.4198538148599367,0.005641983615625242,0.4431531552026543,40.66463236801917,315
305,38.0,5.015832151839493,0.037761773751946934,0.31227464258892823,0.0016717261266730584,0.49189025413414633,47.89790526661749,293
306,74.0,4.67474557405336,0.10257595580433676,0.5883604670826516,0.005262932484605039,0.42628751044724766,25.75833575464257,388
