number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
96,COMPLETE,"[101.0, 5.9125540357678705]",2025-10-11T09:32:07.370461,2025-10-11T09:39:58.500873,471.130412,0.04823510856960841,0.2,0.008,50.0
97,COMPLETE,"[142.0, 5.67079904437681]",2025-10-11T09:39:58.511883,2025-10-11T09:47:50.385646,471.873763,0.04016282710507911,0.2,0.006903836499240589,50.0
98,COMPLETE,"[161.0, 5.394256307481326]",2025-10-11T09:47:50.396657,2025-10-11T09:55:42.140712,471.744055,0.03654547993056008,0.2,0.004485230064218427,50.0
99,COMPLETE,"[103.0, 5.926975170795507]",2025-10-11T09:55:42.151233,2025-10-11T10:03:33.302691,471.151458,0.048260293564027244,0.2,0.008,50.0
100,COMPLETE,"[102.0, 5.920655092512527]",2025-10-11T10:03:33.313271,2025-10-11T10:11:25.580770,472.267499,0.048280572649664344,0.2,0.008,50.0
101,COMPLETE,"[102.0, 5.917900571658739]",2025-10-11T10:11:25.590778,2025-10-11T10:19:17.435682,471.844904,0.04829548552000421,0.2,0.008,50.0
102,COMPLETE,"[101.0, 5.934960379481499]",2025-10-11T10:19:17.446693,2025-10-11T10:27:11.427817,473.981124,0.0483121251169091,0.2,0.008,50.0
103,COMPLETE,"[144.0, 5.6760854689650815]",2025-10-11T10:27:11.437795,2025-10-11T10:35:03.827117,472.389322,0.04015791419021867,0.2,0.006888718211774828,50.0
104,COMPLETE,"[166.0, 5.193113082558998]",2025-10-11T10:35:03.838128,2025-10-11T10:42:55.934261,472.096133,0.0366655167978926,0.2,0.003035435415460575,50.0
105,COMPLETE,"[165.0, 5.275379554167431]",2025-10-11T10:42:55.944047,2025-10-11T10:50:48.814083,472.870036,0.03734139787910989,0.2,0.0033152401053809415,50.0
106,COMPLETE,"[165.0, 5.4772966576799575]",2025-10-11T10:50:48.824649,2025-10-11T10:58:41.638239,472.81359,0.037750312790539524,0.2,0.003973868417929553,50.0
107,COMPLETE,"[165.0, 5.230320387506755]",2025-10-11T10:58:41.649700,2025-10-11T11:06:35.761510,474.11181,0.0379355018866943,0.2,0.0029582204502318745,50.0
108,COMPLETE,"[166.0, 5.21951357723325]",2025-10-11T11:06:35.772521,2025-10-11T11:14:27.949831,472.17731,0.03787148575076452,0.2,0.002963721230293267,50.0
109,COMPLETE,"[164.0, 5.167315786732247]",2025-10-11T11:14:27.960658,2025-10-11T11:22:20.378922,472.418264,0.03814888453489753,0.2,0.0026854213544511025,50.0
110,COMPLETE,"[154.0, 5.63571681852808]",2025-10-11T11:22:20.389932,2025-10-11T11:30:12.095306,471.705374,0.039223823770619,0.2,0.005176461942752561,50.0
111,COMPLETE,"[149.0, 5.6582113833220475]",2025-10-11T11:30:12.105875,2025-10-11T11:38:04.460949,472.355074,0.041083752274394016,0.2,0.005926431728624823,50.0
112,COMPLETE,"[150.0, 5.662964175991304]",2025-10-11T11:38:04.470959,2025-10-11T11:45:56.889691,472.418732,0.041356409599758566,0.2,0.005892872498898881,50.0
113,COMPLETE,"[4.0, 1.0]",2025-10-11T11:45:56.899708,2025-10-11T11:53:50.465089,473.565381,0.0,0.2,0.001,50.0
114,COMPLETE,"[167.0, 5.179342270494982]",2025-10-11T11:53:50.476100,2025-10-11T12:01:43.094149,472.618049,0.040582853939405014,0.2,0.0018906632077773235,50.0
115,COMPLETE,"[168.0, 4.598487302624555]",2025-10-11T12:01:43.104671,2025-10-11T12:09:37.346948,474.242277,0.02990771149073666,0.2,0.0031314675327610056,50.0
116,COMPLETE,"[168.0, 4.66519831690047]",2025-10-11T12:09:37.357959,2025-10-11T12:17:30.182042,472.824083,0.027043968883484287,0.2,0.0032828337012263203,50.0
117,COMPLETE,"[167.0, 4.600810128210007]",2025-10-11T12:17:30.192561,2025-10-11T12:25:21.939993,471.747432,0.02988661189355168,0.2,0.003130420071941162,50.0
118,COMPLETE,"[161.0, 4.439473468152958]",2025-10-11T12:25:21.950721,2025-10-11T12:33:14.728343,472.777622,0.02493996740677954,0.2,0.0034178729816878367,50.0
119,COMPLETE,"[4.0, 0.0]",2025-10-11T12:33:14.738351,2025-10-11T12:41:07.624399,472.886048,0.3837709928605983,0.2,0.001,50.0
120,COMPLETE,"[11.0, 0.0]",2025-10-11T12:41:07.635013,2025-10-11T12:49:00.563624,472.928611,0.20867297230748746,0.2,0.008,50.0
121,COMPLETE,"[167.0, 4.844008522046099]",2025-10-11T12:49:00.573566,2025-10-11T12:56:53.379529,472.805963,0.03128036005931427,0.2,0.0029442041688835527,50.0
122,COMPLETE,"[54.0, 0.8875438368892429]",2025-10-11T12:56:53.390539,2025-10-11T13:04:45.920031,472.529492,0.10106652305921808,0.2,0.008,50.0
