number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
66,COMPLETE,[0.15434202978929107],2025-09-10T01:10:30.803440,2025-09-10T01:18:35.405359,484.601919,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
67,COMPLETE,[0.13327905495026765],2025-09-10T01:18:35.420372,2025-09-10T01:26:39.952227,484.531855,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
68,COMPLETE,[0.059769464646977216],2025-09-10T01:26:39.968241,2025-09-10T01:34:44.419025,484.450784,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
69,COMPLETE,[0.1242466741303494],2025-09-10T01:34:44.432038,2025-09-10T01:42:48.889826,484.457788,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
70,COMPLETE,[0.07937589985843126],2025-09-10T01:42:48.903839,2025-09-10T01:50:53.675908,484.772069,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
71,COMPLETE,[0.09703247766883118],2025-09-10T01:50:53.691923,2025-09-10T01:58:58.437970,484.746047,0.04702468590184489,0.2,0.055,50.0,93.0,12.0,105.0,5.543806523805969
72,COMPLETE,[0.23325377692626753],2025-09-10T01:58:58.452983,2025-09-10T02:07:03.390201,484.937218,0.045,0.2,0.03454268374610783,50.0,102.0,16.0,118.0,5.800491789595128
73,COMPLETE,[0.1817851599328027],2025-09-10T02:07:03.405215,2025-09-10T02:15:08.266365,484.86115,0.053,0.2,0.05015020379140035,50.0,88.0,20.0,108.0,5.515839661355558
74,COMPLETE,[0.20065226293177224],2025-09-10T02:15:08.281378,2025-09-10T02:23:12.979382,484.698004,0.045,0.2,0.04834742094077864,50.0,98.0,11.0,109.0,5.641121046468293
75,COMPLETE,[0.3042881903017599],2025-09-10T02:23:12.994395,2025-09-10T02:31:18.349987,485.355592,0.05019695673942125,0.2,0.03,50.0,92.0,27.0,119.0,5.888284278217226
76,COMPLETE,[0.16045826366457963],2025-09-10T02:31:18.364000,2025-09-10T02:39:23.644523,485.280523,0.04759048983965913,0.2,0.03,50.0,99.0,23.0,122.0,5.902315060750345
77,COMPLETE,[0.05817024165633562],2025-09-10T02:39:23.659537,2025-09-10T02:47:28.675826,485.016289,0.053,0.2,0.055,50.0,88.0,18.0,106.0,5.393999783304597
78,COMPLETE,[0.0922527074564256],2025-09-10T02:47:28.690839,2025-09-10T02:55:34.229594,485.538755,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
79,COMPLETE,[0.19127499800165565],2025-09-10T02:55:34.244608,2025-09-10T03:03:39.430047,485.185439,0.045,0.2,0.04205865965449383,50.0,99.0,14.0,113.0,5.69363507499558
80,COMPLETE,[0.11470166517292986],2025-09-10T03:03:39.445061,2025-09-10T03:11:45.132949,485.687888,0.04927683215373321,0.2,0.055,50.0,91.0,13.0,104.0,5.511793956971154
81,COMPLETE,[0.0990511348584288],2025-09-10T03:11:45.147962,2025-09-10T03:19:50.513563,485.365601,0.045,0.2,0.03,50.0,103.0,18.0,121.0,5.9738886370479864
82,COMPLETE,[0.04560115529024802],2025-09-10T03:19:50.527576,2025-09-10T03:27:55.888171,485.360595,0.045,0.2,0.055,50.0,95.0,8.0,103.0,5.492446517176829
83,COMPLETE,[0.06572862296181978],2025-09-10T03:27:55.905187,2025-09-10T03:36:01.040582,485.135395,0.053,0.2,0.03,50.0,83.0,34.0,117.0,5.854416661095787
