number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,attr_CQ,attr_GR,attr_KR,attr_MC
218,COMPLETE,[0.04247200813595512],2025-09-12T15:38:01.306192,2025-09-12T15:46:08.703607,487.397415,0.04923156976384535,0.2,0.053604388886451554,50.0,91.0,14.0,105.0,5.526065325056178
219,COMPLETE,[0.054045655735759875],2025-09-12T15:46:08.718621,2025-09-12T15:54:15.769727,487.051106,0.04746016705399666,0.2,0.03972555787957941,50.0,98.0,16.0,114.0,5.74046043562627
220,COMPLETE,[0.06263102585325155],2025-09-12T15:54:15.784741,2025-09-12T16:02:23.117098,487.332357,0.05175916230172307,0.2,0.05301749279535495,50.0,89.0,17.0,106.0,5.499193485739666
221,COMPLETE,[0.044816400947923156],2025-09-12T16:02:23.132112,2025-09-12T16:10:29.837909,486.705797,0.04810010642130168,0.2,0.050008642284052315,50.0,94.0,13.0,107.0,5.6346377487576715
222,COMPLETE,[0.0827230422390443],2025-09-12T16:10:29.852923,2025-09-12T16:18:37.158256,487.305333,0.05218586555973742,0.2,0.034547840754151724,50.0,84.0,30.0,114.0,5.7740146944738155
223,COMPLETE,[0.08585089952456652],2025-09-12T16:18:37.177273,2025-09-12T16:26:44.692794,487.515521,0.05293181542805325,0.2,0.03589174370967073,50.0,83.0,30.0,113.0,5.758713579290982
224,COMPLETE,[0.061440320484616014],2025-09-12T16:26:44.707808,2025-09-12T16:34:51.320522,486.612714,0.050799932675319126,0.2,0.05250409536885364,50.0,90.0,16.0,106.0,5.493053902763042
225,COMPLETE,[0.03011237077609441],2025-09-12T16:34:51.334535,2025-09-12T16:42:58.521752,487.187217,0.04918423733846939,0.2,0.05259374835402453,50.0,91.0,15.0,106.0,5.556534722841096
226,COMPLETE,[0.04815226920079816],2025-09-12T16:42:58.534763,2025-09-12T16:51:04.729103,486.19434,0.048104225105810514,0.2,0.03942028309909383,50.0,97.0,17.0,114.0,5.773820482246529
227,COMPLETE,[0.17307290600567202],2025-09-12T16:51:04.744116,2025-09-12T16:59:11.054561,486.310445,0.05221351638111908,0.2,0.030914232586307683,50.0,84.0,33.0,117.0,5.887326529371461
228,COMPLETE,[0.05961261741661689],2025-09-12T16:59:11.070576,2025-09-12T17:07:17.642253,486.571677,0.04649541620929847,0.2,0.03584209171676249,50.0,100.0,17.0,117.0,5.782987751249514
229,COMPLETE,[0.06928451793489178],2025-09-12T17:07:17.657267,2025-09-12T17:15:24.156882,486.499615,0.0513489143678898,0.2,0.042641084295445275,50.0,90.0,21.0,111.0,5.6721736171146
230,COMPLETE,[0.04125633191668672],2025-09-12T17:15:24.171895,2025-09-12T17:23:30.713545,486.54165,0.048114835898954524,0.2,0.048867911541528475,50.0,94.0,14.0,108.0,5.633863878954225
231,COMPLETE,[0.05332649876670406],2025-09-12T17:23:30.727558,2025-09-12T17:31:36.943919,486.216361,0.0464327991500627,0.2,0.0442146977568019,50.0,96.0,14.0,110.0,5.682481192895012
232,COMPLETE,[0.08002815557226445],2025-09-12T17:31:36.957931,2025-09-12T17:39:43.484568,486.526637,0.04875195467191525,0.2,0.038698541924177376,50.0,95.0,18.0,113.0,5.806402082105247
233,COMPLETE,[0.07137746550573532],2025-09-12T17:39:43.499582,2025-09-12T17:47:50.038230,486.538648,0.048352993008670686,0.2,0.03312518813887324,50.0,97.0,22.0,119.0,5.867031595014298
234,COMPLETE,[0.09498126194255696],2025-09-12T17:47:50.053244,2025-09-12T17:55:56.789069,486.735825,0.05092007089884467,0.2,0.03565764112993225,50.0,89.0,25.0,114.0,5.794246314912689
235,COMPLETE,[0.08820470961573498],2025-09-12T17:55:56.806083,2025-09-12T18:04:03.413793,486.60771,0.05086940971644699,0.2,0.03285900044408888,50.0,89.0,26.0,115.0,5.82124847097584
236,COMPLETE,[0.08597594991862025],2025-09-12T18:04:03.428807,2025-09-12T18:12:09.491030,486.062223,0.05292569187460669,0.2,0.030999970941359867,50.0,82.0,34.0,116.0,5.803453973361587
237,COMPLETE,[0.04802172424583976],2025-09-12T18:12:09.506043,2025-09-12T18:20:15.708733,486.20269,0.046394181696575575,0.2,0.05415215941894433,50.0,94.0,12.0,106.0,5.55529718322682
238,COMPLETE,[0.044173597699922115],2025-09-12T18:20:15.723746,2025-09-12T18:28:21.207453,485.483707,0.04727246778592184,0.2,0.05394215586875714,50.0,93.0,11.0,104.0,5.533587701642883
239,COMPLETE,[0.0538562191881135],2025-09-12T18:28:21.222466,2025-09-12T18:36:26.807262,485.584796,0.05062080257980102,0.2,0.05066676759013325,50.0,90.0,16.0,106.0,5.576234784969251
240,COMPLETE,[0.04611414695339314],2025-09-12T18:36:26.820274,2025-09-12T18:44:31.973685,485.153411,0.049222552089275715,0.2,0.049539214572763376,50.0,92.0,15.0,107.0,5.58252560015591
241,COMPLETE,[0.10011920273960334],2025-09-12T18:44:31.988698,2025-09-12T18:52:37.807703,485.819005,0.04517780154916459,0.2,0.041950376712391116,50.0,101.0,12.0,113.0,5.712147417127066
242,COMPLETE,[0.06375060417071955],2025-09-12T18:52:37.822717,2025-09-12T19:00:44.026066,486.203349,0.047968826036243147,0.2,0.053436536760912715,50.0,95.0,12.0,107.0,5.545614342566186
243,COMPLETE,[0.08267914071075011],2025-09-12T19:00:44.040078,2025-09-12T19:08:50.086287,486.046209,0.05112397040124162,0.2,0.04406562712573319,50.0,89.0,21.0,110.0,5.645403744991976
244,COMPLETE,[0.04736577383122748],2025-09-12T19:08:50.100300,2025-09-12T19:16:55.918304,485.818004,0.045890919786152194,0.2,0.04811608634386824,50.0,96.0,13.0,109.0,5.655372142969511
245,COMPLETE,[0.06881232023732027],2025-09-12T19:16:55.932316,2025-09-12T19:25:02.389893,486.457577,0.048488043774179035,0.2,0.04193132422012957,50.0,95.0,18.0,113.0,5.711937617439874
246,COMPLETE,[0.034142216322802635],2025-09-12T19:25:02.404906,2025-09-12T19:33:07.882607,485.477701,0.04918210062774681,0.2,0.053334705035393996,50.0,91.0,14.0,105.0,5.532236189254092
247,COMPLETE,[0.0594297134002245],2025-09-12T19:33:07.897620,2025-09-12T19:41:13.774694,485.877074,0.05012465696567584,0.2,0.045935547554016076,50.0,91.0,18.0,109.0,5.636669022512853
248,COMPLETE,[0.07124322525141238],2025-09-12T19:41:13.790708,2025-09-12T19:49:20.232270,486.441562,0.05156939357676976,0.2,0.04317563553270317,50.0,88.0,21.0,109.0,5.683945953296734
