number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime
138,COMPLETE,"[29.0, 4.786091104760737]",2025-10-16T16:30:43.484367,2025-10-16T16:38:44.553884,481.069517,0.05,0.5477179574809795,0.003,50.0
139,COMPLETE,"[122.0, 5.013504299733508]",2025-10-16T16:38:44.565894,2025-10-16T16:46:52.438734,487.87284,0.05,0.035389207944064416,0.003,50.0
140,COMPLETE,"[131.0, 4.213318903554214]",2025-10-16T16:46:52.450745,2025-10-16T16:54:52.698265,480.24752,0.05,0.04886963996363043,0.003,32.626054071837316
141,COMPLETE,"[108.0, 5.51533426244125]",2025-10-16T16:54:52.709275,2025-10-16T17:02:50.282478,477.573203,0.05,0.059824900610119074,0.003,50.0
142,COMPLETE,"[91.0, 5.800810744319987]",2025-10-16T17:02:50.292487,2025-10-16T17:10:48.919333,478.626846,0.05,0.1092502578564614,0.003,50.0
143,COMPLETE,"[121.0, 5.21402726339595]",2025-10-16T17:10:48.929341,2025-10-16T17:18:47.983110,479.053769,0.05,0.0419221413654937,0.003,50.0
144,COMPLETE,"[103.0, 5.651632095001973]",2025-10-16T17:18:47.993119,2025-10-16T17:26:47.643689,479.65057,0.05,0.0976681079915823,0.003,47.14606702343568
145,COMPLETE,"[99.0, 5.672839831780569]",2025-10-16T17:26:47.654698,2025-10-16T17:34:46.917847,479.263149,0.05,0.09760821390923033,0.003,48.34018612559073
146,COMPLETE,"[86.0, 5.777540721297278]",2025-10-16T17:34:46.928857,2025-10-16T17:42:45.107037,478.17818,0.05,0.11812496706187949,0.003,50.0
147,COMPLETE,"[123.0, 4.893565195006239]",2025-10-16T17:42:45.118047,2025-10-16T17:50:42.852742,477.734695,0.05,0.03504066360292164,0.003,50.0
148,COMPLETE,"[121.0, 5.230172873307249]",2025-10-16T17:50:42.863752,2025-10-16T17:58:40.619611,477.755859,0.05,0.04209100893122064,0.003,50.0
149,COMPLETE,"[122.0, 4.899489656801666]",2025-10-16T17:58:40.629620,2025-10-16T18:06:39.773509,479.143889,0.05,0.03523155657067936,0.003,50.0
150,COMPLETE,"[99.0, 5.667004582889135]",2025-10-16T18:06:39.784519,2025-10-16T18:14:37.451606,477.667087,0.05,0.09655392611591879,0.003,48.4689758966299
