number,state,values,datetime_start,datetime_complete,duration,param_gamma,param_theta,param_m0,param_beta_prime,param_n_instances,param_beta_range_delta,param_weight_0,param_weight_1,param_weight_2,param_weight_3,param_weight_4,param_weight_5,param_weight_6,attr_GR,attr_KR,attr_morph_type,attr_weights
37,COMPLETE,"[95.0, 2.7649709548012362]",2025-07-24T03:22:23.550963,2025-07-24T03:32:29.012233,605.46127,0.01,0.6,0.008,31.64465908566936,5,3.13632187945116,0.01,0.4005869670218359,0.01,0.8329567688076404,0.604421530778811,,,1.0,96.0,random,"[0.005382231939273539, 0.21560519683616408, 0.005382231939273539, 0.4483166525110567, 0.3253136867742321]"
38,COMPLETE,"[105.0, 2.7979456565722103]",2025-07-24T03:32:29.022241,2025-07-24T03:41:48.274687,559.252446,0.01,0.6,0.008,38.6899951741115,3,2.778003334258622,0.01,1.0,0.01,,,,,1.0,106.0,random,"[0.00980392156862745, 0.9803921568627451, 0.00980392156862745]"
39,COMPLETE,"[101.0, 2.7961675489701037]",2025-07-24T03:41:48.285697,2025-07-24T03:51:52.955440,604.669743,0.01,0.344872341908223,0.008,31.381773200897637,5,2.3737875484323463,0.01,0.7097832331994766,0.01,0.9140041005123116,0.759699971424533,,,1.0,102.0,random,"[0.004160621101942047, 0.2953139097854395, 0.004160621101942047, 0.3802824747853083, 0.3160823732253682]"
40,COMPLETE,"[115.0, 2.822609653759371]",2025-07-24T03:51:52.966449,2025-07-24T04:01:33.745160,580.778711,0.01,0.222014549491361,0.00711256251086978,28.475970826143627,4,3.669626676485654,0.01,0.2482602541934581,0.01,0.11039959405870595,,,,1.0,116.0,random,"[0.026408926233289512, 0.6556286739652738, 0.026408926233289512, 0.2915534735681472]"
41,COMPLETE,"[35.0, 2.437915003838765]",2025-07-24T04:01:33.757171,2025-07-24T04:10:49.429663,555.672492,0.01,0.6,0.008,50.0,3,4.0,1.0,0.01,0.01,,,,,1.0,36.0,random,"[0.9803921568627451, 0.00980392156862745, 0.00980392156862745]"
42,COMPLETE,"[115.0, 2.8696056611843144]",2025-07-24T04:10:49.440673,2025-07-24T04:20:29.715735,580.275062,0.01,0.22076353867232382,0.007122611817723897,28.518538667773655,4,3.4666178220216044,0.01,0.5807099582182531,0.01,0.779142195572714,,,,1.0,116.0,random,"[0.007247153234878303, 0.42084940522274566, 0.007247153234878303, 0.5646562883074977]"
43,COMPLETE,"[78.0, 2.7337797956721674]",2025-07-24T04:20:29.727746,2025-07-24T04:29:44.837379,555.109633,0.01,0.6,0.008,34.1159265605496,3,3.414046325788471,0.01,1.0,1.0,,,,,1.0,79.0,random,"[0.0049751243781094535, 0.49751243781094534, 0.49751243781094534]"
44,COMPLETE,"[122.0, 2.8403727084085877]",2025-07-24T04:29:44.848388,2025-07-24T04:39:48.359863,603.511475,0.01,0.15882939422195236,0.008,29.05357544923995,5,2.7718783723231666,0.060405133642627694,0.17964425274918627,0.01,0.22636003357421955,0.9923697968042875,,,1.0,123.0,random,"[0.041126081410282844, 0.12230854760064185, 0.006808375204265802, 0.1541144039823491, 0.6756425918024603]"
45,COMPLETE,"[87.0, 2.9110647821528968]",2025-07-24T04:39:48.370872,2025-07-24T04:50:51.712914,663.342042,0.01,0.6,0.008,50.0,7,0.0,0.01,0.01,0.9999999999999999,0.710271850237854,0.40052144224299835,0.5829895619773542,0.030272603973305244,1.0,88.0,random,"[0.003644241215779199, 0.003644241215779199, 0.36442412157791987, 0.25884019510445383, 0.14595967476252625, 0.2124554590126936, 0.011032067110848011]"
46,COMPLETE,"[87.0, 2.911064782344295]",2025-07-24T04:50:51.724924,2025-07-24T05:00:07.885745,556.160821,0.01,0.6,0.008,50.0,3,0.0,0.01,1.0,1.0,,,,,1.0,88.0,random,"[0.0049751243781094535, 0.49751243781094534, 0.49751243781094534]"
47,COMPLETE,"[87.0, 2.911064783604035]",2025-07-24T05:00:07.897756,2025-07-24T05:11:11.571889,663.674133,0.01,0.6,0.008,50.0,7,0.0,0.01,1.0,0.01,0.6278627954345111,0.5822380981991526,0.34176674838067334,0.20701551488024672,1.0,88.0,random,"[0.003598567998510255, 0.3598567998510255, 0.003598567998510255, 0.2259406963105822, 0.2095223387692942, 0.12298708836775975, 0.07449594070431793]"
48,COMPLETE,"[87.0, 2.911064782963782]",2025-07-24T05:11:11.582899,2025-07-24T05:20:28.703309,557.12041,0.01,0.6,0.008,50.0,3,0.0,0.01,0.01,0.01,,,,,1.0,88.0,random,"[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
49,COMPLETE,"[112.0, 3.014366541995062]",2025-07-24T05:20:28.715319,2025-07-24T05:31:32.706006,663.990687,0.01,0.2711984429080734,0.008,43.327653268078876,7,0.0,0.01,0.01,0.01,0.11941823695751368,0.7032898203039754,0.39357328925930957,0.9574513539188677,1.0,113.0,random,"[0.004537755417435564, 0.004537755417435564, 0.004537755417435564, 0.054189075169456154, 0.31913571921116485, 0.17859393254943662, 0.4344680068176357]"
50,COMPLETE,"[117.0, 3.261948333990132]",2025-07-24T05:31:32.717016,2025-07-24T05:42:35.823104,663.106088,0.01,0.220638791238363,0.008,50.0,7,0.0,0.01,0.01,0.7351087492716755,0.7882283524801572,0.7658133029097653,0.031662234815530425,0.9856766571668889,1.0,118.0,random,"[0.0030061723060671387, 0.0030061723060671387, 0.22098635640081626, 0.23695502440827756, 0.23021667428251416, 0.009518213345064235, 0.29631138695119347]"
51,COMPLETE,"[125.0, 3.275193463268175]",2025-07-24T05:42:35.836115,2025-07-24T05:53:38.574665,662.73855,0.01,0.14009285299307453,0.008,50.0,7,0.0,0.01,0.01,0.01,0.3721341369194488,0.5809874609812359,0.36020469868091326,0.9226703810569127,1.0,126.0,random,"[0.0044130691358389, 0.0044130691358389, 0.0044130691358389, 0.16422536740312668, 0.2563937832365699, 0.1589608238332889, 0.4071808181194978]"
52,COMPLETE,"[119.0, 3.218971946180372]",2025-07-24T05:53:38.587676,2025-07-24T06:03:44.529778,605.942102,0.01,0.20162557272595114,0.008,50.0,5,0.0,0.01,0.01,0.01,0.10121253632817687,0.9019812079508415,,,1.0,120.0,random,"[0.009678726817087133, 0.009678726817087133, 0.009678726817087133, 0.0979608489584931, 0.8730029705902455]"
53,COMPLETE,"[118.0, 2.936601386558374]",2025-07-24T06:03:44.541788,2025-07-24T06:14:48.062097,663.520309,0.01,0.028714349334767013,0.008,50.0,7,0.0,0.01,0.01,0.8094855976222471,0.7139791096312662,0.5691835632081612,0.5475661746406815,0.7766499027384329,1.0,119.0,random,"[0.0029096289489233124, 0.0029096289489233124, 0.23553027285781783, 0.20774142863096234, 0.1656112972761788, 0.15932143931857248, 0.22597630401862193]"
54,COMPLETE,"[103.0, 3.1883788095533596]",2025-07-24T06:14:48.075109,2025-07-24T06:25:56.263914,668.188805,0.01,0.18004933802651815,0.008,50.0,7,2.1419197163268375,0.01,0.01,0.01,0.15115710741235752,0.8282621696663397,0.1862150857330243,0.985615762809794,1.0,104.0,random,"[0.00458452695660047, 0.00458452695660047, 0.00458452695660047, 0.06929838336137058, 0.37971902439677263, 0.08537080802687175, 0.45185820334518356]"
